GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,hu.uni.eku.tzs.service,DirectorManagerImpl,6,103,0,4,2,27,1,8,1,6
backend,hu.uni.eku.tzs.service,BookInstanceManagerImpl,41,130,2,2,11,41,4,7,3,6
backend,hu.uni.eku.tzs.service,MovieGenreManagerImpl,6,126,0,4,2,35,1,10,1,8
backend,hu.uni.eku.tzs.service,RoleManagerImpl,6,164,0,4,2,49,1,12,1,10
backend,hu.uni.eku.tzs.service,BookManagerImpl,6,174,0,6,2,48,1,11,1,8
backend,hu.uni.eku.tzs.service,ActorManagerImpl,6,111,0,4,2,29,1,8,1,6
backend,hu.uni.eku.tzs.service,DirectorGenereManagerImpl,6,129,0,4,2,36,1,10,1,8
backend,hu.uni.eku.tzs.service,MovieManagerImpl,6,111,0,4,2,30,1,8,1,6
backend,hu.uni.eku.tzs.model,BookState,0,38,0,0,0,6,0,1,0,1
backend,hu.uni.eku.tzs.controller,ActorController,19,55,0,0,5,14,2,3,2,3
backend,hu.uni.eku.tzs.controller,MovieController,19,55,0,0,5,14,2,3,2,3
backend,hu.uni.eku.tzs.controller,BookController,4,70,0,0,2,17,1,4,1,4
backend,hu.uni.eku.tzs.controller,RoleController,74,0,0,0,19,0,5,0,5,0
backend,hu.uni.eku.tzs.controller,BookInstanceController,27,46,0,0,5,11,2,3,2,3
backend,hu.uni.eku.tzs.controller,MovieGenreContorller,74,0,0,0,19,0,5,0,5,0
backend,hu.uni.eku.tzs.controller,DirectorGenereController,19,55,0,0,5,14,2,3,2,3
backend,hu.uni.eku.tzs.controller,DirectorController,19,55,0,0,5,14,2,3,2,3
backend,hu.uni.eku.tzs,App,8,0,0,0,3,0,2,0,2,0
